DantleyAdrian,Dantley,Adrian,,,1,,1,NotreDame
Danychuk,Danychuk,,,,,,,
Darnell,Darnell,,,,,,,
Dastillo Gerry,Dastillo,Gerry,,,,,,
Datsyuk Pavel,Datsyuk,Pavel,,,,,,
Dattilio,Dattilio,,,,,,,
Daubach B.,Daubach B.,,,,,,,
Daulton,Daulton,Darren,,,,,,
Davidson Ben,Davidson,Ben,,,,,1,
Davidson John,Davidson,John,,,,,,
Davis A.,Davis A.,,,,,,,
Davis C.,Davis C.,,,,,,,
Davis Glenn,Davis,Glenn,,,,1,,Army
Davis Stephen,Davis,Stephen,,,,,,
Davis Storm,Davis,Storm,,,,,,
Davis Travis,Davis,Travis,,,,,,
Davis Troy,Davis,Troy,,,,,,
Davis Walt,Davis,Walt,,,,,,
Davis Willie,Davis,Willie,,,1,,,
DavisTerrell,Davis,Terrell,,,1,,,Georgia
Dawson D.,Dawson D.,,,,,,,
Dawson Lake,Dawson,Lake,,,,,,
DawsonLen,Dawson,Len,,,1,,,Alabama
Daze,Daze,,,,,,,
De La Rosa Jorge,De La Rosa,Jorge,,,,,,
Deadmarsh,Deadmarsh,,,,,,,
Dean F.,Dean,Fred,,,1,,,LouisianaTech
DeAyala,DeAyala,,,,,,,
DeAyala K.,DeAyala K.,,,,,,,
DeBrujin,DeBrujin,,,,,,,
DeBusschere,DeBusschere,Dave,,,1,,,
DeCinces,DeCinces,Doug,,,,,,
DeJesus,DeJesus,,,,,,,
DeLamielleure,DeLamielleure,Joe,,,1,,,MichiganState
Delaney J.,Delaney J.,,,,,,,
Delmore,Delmore,,,,,,,
