,Face El Roy,,1953,Topps,246,RC,Pittsburgh Pirates,100,27,,TRUE,BS,,PSA 7 MC,,C,,,
,Gillom Horace,,1953,Bowman,40,,Cleveland Browns,10,8.5,,TRUE,FB,,PSA 3,,C,,,
,Groom,,1953,Bowman,13,,Chicago Cardinals,50,32.4,,TRUE,FB,ND,PSA 7,,C,,,
,Groom,,1953,Bowman,13,,Chicago Cardinals,25,10,,TRUE,FB,ND,PSA 6,,C,,,
,Groom,,1953,Bowman,13,,Chicago Cardinals,30,5,,TRUE,FB,ND,G-VG,,C,,,
,Hart Leon,,1953,Bowman,31,,Detroit Lions,8,10.5,,TRUE,FB,ND,PSA 3,HT,C,,,
,Hart Leon,,1953,Bowman,31,,Detroit Lions,32.5,10,,TRUE,FB,ND,PSA 5,HT,C,,,
,Kell George,,1953,Topps,138,SP,Boston Red Sox,32,15.5,,TRUE,BS,,EX,,C,,,
,Kelly Red,,1953,Parkhurst,40,,Detroit Red Wings,100,30,,TRUE,HO,,PSA 5,,C,,,
,Mortson J.,,1953,Parkhurst,81,,Chicago Blackhawks,7.5,10.5,,TRUE,HO,,PSA 4,,C,,,
,O'Connell T.,,1953,Bowman,42,,Chicago Bears,15,5.25,,TRUE,FB,,PSA 5,,C,,,
,Ratterman,,1953,Bowman,85,,Cleveland Browns,25,18.05,,TRUE,FB,ND,PSA 6,,C,,,
,Rykovich,,1953,Bowman,74,,Chicago Bears,25,13.1,,TRUE,FB,ND,PSA 6,,C,,,
,Stone Billy,,1953,Bowman,29,,Chicago Bears,30,7.75,,TRUE,FB,,PSA 6,,C,,,
,Walsh Bill,,1953,Bowman,38,,Pittsburgh Steelers,50,37.75,,TRUE,FB,ND,PSA 7,,C,,,
,Blanda,George,1954,Bowman,23,RC,Chicago Bears,175,175,,TRUE,FB,,PSA 7,,C,,1,
,Bratkowski,,1954,Bowman,11,RC,Chicago Bears,28,17,,TRUE,FB,,PSA 7,,C,,,
,Connor George,,1954,Bowman,116,,Chicago Bears,25,24,,TRUE,FB,ND,PSA 7,,C,,,
,Connor George,,1954,Bowman,116,,Chicago Bears,15,7.5,,TRUE,FB,ND,PSA 7 MK,,C,,,
,Doby,Larry,1954,Bowman,84,,Cleveland Indians,25,10,,TRUE,BS,,PSA 5,,C,,,
,Doby,Larry,1954,Topps,70,,Cleveland Indians,60,10,,TRUE,BS,,VG,,C,,,
,Fears,,1954,Bowman,20,,Los Angeles Rams,35,14.5,,TRUE,FB,,PSA 7,,C,,,
,Gilliam Junior,,1954,Topps,35,,Brooklyn Dodgers,45,4,,TRUE,BS,,PSA 5 MC,,C,,,
,Hart Leon,,1954,Bowman,112,,Detroit Lions,24,10,,TRUE,FB,ND,PSA 7,HT,C,,,
,Hart Leon,,1954,Bowman,112,,Detroit Lions,15,2,,TRUE,FB,ND,VG-EX,HT,C,,,
,Hunter Art,,1954,Bowman,58,RC,Green Bay Packers,14,27.5,,TRUE,FB,ND,PSA 7,,C,,,
,Hunter Art,,1954,Bowman,58,RC,Green Bay Packers,5,5.6,,TRUE,FB,ND,PSA 4,,C,,,
,Irvin Monte,,1954,Topps,3,,New York Giants,45,27,,TRUE,BS,,PSA 6,,C,,,
,Jensen,,1954,Bowman,2,,Boston Red Sox,30,10,,TRUE,BS,BRS,EX,,C,,,
,Jensen,,1954,Topps,80,,Boston Red Sox,25,10,,TRUE,BS,BRS,PSA 5,,C,,,
,Justice,Charlie,1954,Bowman,39,,Washington Redskins,5,6.5,0.01,TRUE,FB,,PSA 3,,C,,,
,Kluszewski,,1954,Topps,7,,Cincinnati Reds,45,10,,TRUE,BS,CR,PSA 5,,C,,,
,Kuenn,,1954,Topps,25,RC,Detroit Tigers,25,12.5,,TRUE,BS,,PSA 5,,C,,,
,Lattner,,1954,Bowman,128,RC,Detroit Lions,40,19.5,,TRUE,FB,ND,PSA 6,HT,C,,,
,Manush,,1954,Topps,187,CO,Washington Senators,60,16,,TRUE,BS,,PSA 7,,C,,,
Unknown,Marines Move Out,,1954,Power for Peace,55,,United States Marine Corps,5,5,,TRUE,MS,,PSA 7,,C,,,
,Martin Billy,,1954,Topps,13,,New York Yankees,70,11.5,,TRUE,BS,NYY,PSA 2,,C,,,
,Pesky,,1954,Topps,63,,Detroit Tigers,35,16.5,,TRUE,BS,BRS,PSA 6,,C,,,
,Pesky,,1954,Bowman,135,,Detroit Tigers,20,3,,TRUE,BS,BRS,EX,,C,,,
,Quinlan Volney,,1954,Bowman,44,,Los Angeles Rams,5,4.85,,TRUE,FB,,PSA 5,,C,,,
,Robinson,Jackie,1954,Topps,10,,Brooklyn Dodgers,225,185,,TRUE,BS,R,PSA 6,,C,,,
,Roe,Preacher,1954,Topps,14,,Brooklyn Dodgers,20,8.5,,TRUE,BS,,PSA 4,,C,,,
,Sauer Hank,,1954,Topps,4,,Chicago Cubs,45,4,,TRUE,BS,,PSA 5,,C,,,
,Vernon Mickey,,1954,Bowman,142,,Washington Senators,16,12.25,,TRUE,BS,BRS,PSA 4,,C,,,
,Walsh Bill,,1954,Bowman,96,,Pittsburgh Steelers,24,28,,TRUE,FB,ND,PSA 7,,C,,,
,Walsh Bill,,1954,Bowman,96,,Pittsburgh Steelers,6,13.25,,TRUE,FB,ND,PSA 5,,C,,,
,Worden,,1954,Bowman,120,RC,Philadelphia Eagles,14,16.5,,TRUE,FB,ND,PSA 7,,C,,,
,Worden,,1954,Bowman,120,RC,Philadelphia Eagles,5,4.1,,TRUE,FB,ND,EX,,C,,,
,Berra,Yogi,1955,Bowman,168,,New York Yankees,90,20,,TRUE,BS,NYY,EX ET,,C,,,
,Bertelli,,1955,Topps All-American,76,RC,Notre Dame Fightin' Irish,35,41.55,,TRUE,FB,ND,PSA 7,HT,C,,,
,Bertelli,,1955,Topps All-American,76,RC,Notre Dame Fightin' Irish,10,21.5,,TRUE,FB,ND,PSA 4,HT,C,,,
,Crowley Jim,,1955,Topps All-American,68,RC Four Horsemen,Notre Dame Fightin' Irish,500,75,,TRUE,FB,ND,EX ET,,C,,,
,Fox Nellie,,1955,Bowman,33,,Chicago White Sox,45,16.5,,TRUE,BS,,PSA 6,,C,,,
,Guglielmi,,1955,Bowman,61,RC,Washington Redskins,35,26,,TRUE,FB,ND,PSA 8,WR,C,,,
,Guglielmi,,1955,Bowman,61,RC,Washington Redskins,8,2,,TRUE,FB,ND,EX,WR,C,,,
,Hart Leon,,1955,Bowman,19,,Detroit Lions,24,21.75,,TRUE,FB,ND,PSA 7,HT,C,,,
,Hart Leon,,1955,Bowman,19,,Detroit Lions,12,3.85,,TRUE,FB,ND,PSA 6,HT,C,,,
