Ohio State Buckeyes,Ohio State,Buckeyes,Basketball,NCAAB
Ohio State Buckeyes,Ohio State,Buckeyes,Football,NCAAF
Oklahoma Outlaws,Oklahoma,Outlaws,Football,USFL
Oklahoma State Cowboys,Oklahoma State,Cowboys,Basketball,NCAAB
Oklahoma State Cowboys,Oklahoma State,Cowboys,Football,NCAAF
Orlando Magic,Orlando,Magic,Basketball,NBA
Orlando Renegades,Orlando,Renegades,,
Orlando Thunder,Orlando,Thunder,Football,
Oshawa Generals (OHL),Oshawa,Generals,Hockey,
Ottawa 67's (OHL),Ottawa,67's,Hockey,
Ottawa Renegades,Ottawa,Renegades,,
Ottawa Rough Riders,Ottawa,Rough Riders,Football,CFL
Ottawa Senators,Ottawa,Senators,Hockey,NHL
Owen Sound Platers (OHL),Owen Sound,Platers,Hockey,
Pawtuckett Red Sox (AAA),Pawtuckett,Red Sox,Baseball,
Pee Dee Pride (ECHL),Pee Dee,Pride,Hockey,
Penn State Nittny Lions,Penn State,Nittany Lions,Basketball,NCAAB
Penn State Nittny Lions,Penn State,Nittany Lions,Football,NCAAF
Pensacola Ice Pilots (ECHL),Pensacola,Ice Pilots,Hockey,
Peoria Chiefs  (A),Peoria,Chiefs,Baseball,
Peoria Rivermen (IHL),Peoria,Rivermen,Hockey,
Peterborough Petes (OHL),Peterborough,Petes,Hockey,
Philadelphia 76ers,Philadelphia,76ers,Basketball,NBA
Philadelphia Athletics,Philadelphia,Athletics,Baseball,MLB
Philadelphia Eagles,Philadelphia,Eagles,Football,NFL
Philadelphia Flyers,Philadelphia,Flyers,Hockey,NHL
Philadelphia Phantoms (AHL),Philadelphia,Phantoms,Hockey,
Philadelphia Phillies,Philadelphia,Phillies,Baseball,MLB
Philadelphia Stars,Philadelphia,Stars,Football,USFL
Philadelphia Warriors,Philadelphia,Warriors,Basketball,NBA
Phoenix Cardinals,Phoenix,Cardinals,Football,NFL
Phoenix Coyotes,Phoenix,Coyotes,Hockey,NHL
Phoenix Roadrunners,Phoenix,Roadrunners,,
Phoenix Suns,Phoenix,Suns,Basketball,NBA
Pittsburgh Maulers,Pittsburgh,Maulers,Football,USFL
Pittsburgh Penguins,Pittsburgh,Penguins,Hockey,NHL
Pittsburgh Pirates,Pittsburgh,Pirates,Baseball,MLB
Pittsburgh Steelers,Pittsburgh,Steelers,Football,NFL
Portland Breakers,Portland,Breakers,Football,USFL
Portland Pirates (AHL),Portland,Pirates,Hockey,
Portland Trailblazers,Portland,Trailblazers,Basketball,NBA
Portland Winter Hawks (WHL),Portland,Winter Hawks,Hockey,
Providence Bruins (AHL),Providence,Bruins,Hockey,
Providence Friars (ECAC),Providence,Friars,,
Quebec Nordiques,Quebec,Nordiques,Hockey,NHL
Quebec Remparts (QMJHL),Quebec,Remparts,Hockey,
Raliegh-Durham Skyhawks,Raliegh-Durham,Skyhawks,,
Reading Royals (ECHL),Reading,Royals,Hockey,
Redwood Pioneers (PCL),Redwood,Pioneers,,
Regina Pats (WHL),Regina,Pats,Hockey,
Rimouski Oceanic (WHL),Rimouski,Oceanic,Hockey,
Rochester Americans (AHL),Rochester,Americans,Hockey,
Rockford IceHogs (AHL),Rockford,IceHogs,Hockey,
Sacramento Gold Miners,Sacramento,Gold,,
Sacramento Kings,Sacramento,Kings,Basketball,NBA
Saint John Flames (AHL),Saint John,Flames,Hockey,
Saint John Sea Dogs (QMJHL),Saint John,Sea Dogs,Hockey,
Salem (MA) HS Witches,Salem,Witches,,
Salt Lake Golden Eagles (IHL),Salt Lake,Golden Eagles,,
San Antonio Gunslingers,San Antonio,Gunslingers,Football,USFL
San Antonio Spurs,San Antonio,Spurs,Basketball,NBA
San Antonio Texans,San Antonio,Texans,,
San Diego Chargers,San Diego,Chargers,Football,NFL
San Diego Clippers,San Diego,Clippers,Basketball,NBA
San Diego Conquistadors,San Diego,Conquistadors,Basketball,ABA
San Diego Gulls (IHL),San Diego,Gulls,Hockey,
San Diego Padres,San Diego,Padres,Baseball,MLB
San Diego Rockets,San Diego,Rockets,,
San Fransisco 49ers,San Francisco,49ers,Football,NFL
San Fransisco Giants,San Francisco,Giants,Baseball,MLB
San Fransisco Warriors,San Francisco,Warriors,Basketball,NBA
San Jose Sharks,San Jose,Sharks,Hockey,NHL
Sarnia Sting (CHL),Sarnia,Sting,Hockey,
Sarnia Sting (OHL),Sarnia,Sting,Hockey,
Saskatchewan Roughriders,Saskatchewan,Roughriders,Football,CFL
Sault Ste. Marie Greyhounds (OHL),Sault Ste Marie,Greyhounds,Hockey,
Seattle Mariners,Seattle,Mariners,Baseball,MLB
Seattle Seahawks,Seattle,Seahawks,Football,NFL
Seattle Supersonics,Seattle,Supersonics,Basketball,NBA
Seattle Thunderbirds (WHL),Seattle,Thunderbirds,Hockey,
Seton Hall Pirates,Seton Hall,Pirates,Basketball,NCAAB
Seton Hall Pirates,Seton Hall,Pirates,Football,NCAAF
Shawingan Cataractes (CHL),Shawingan,Cataractes,Hockey,
Sherbrooke Canadiens (AHL),Sherbrooke,Canadiens,Hockey,
Sherbrooke Faucons (AHL),Sherbrooke,Faucons,Hockey,
So. Mississippi Golden Eagles,Southern Mississippi,Golden Eagles,Basketball,NCAAB
So. Mississippi Golden Eagles,Southern Mississippi,Golden Eagles,Football,NCAAF
Southern California Trojans,USC,Trojans,Basketball,NCAAB
Southern California Trojans,USC,Trojans,Football,NCAAF
Spokane Chiefs (WHL),Spokane,Chiefs,Hockey,
Springfield Falcons (AHL),Springfield,Falcons,Hockey,
Springfield Indians (AHL),Springfield,Indians,Hockey,
St. John's Maple Leafs (AHL),St Johns,Maple Leafs,Hockey,
St. Lawrence Saints (ECAC),St Lawrence,Saints,,
St. Louis Blues,St Louis,Blues,Hockey,NHL
St. Louis Browns,St Louis,Browns,Football,NFL
St. Louis Cardinals,St Louis,Cardinals,Football,NFL
St. Louis Grays (Negro L.),St Louis,Grays,Baseball,NLB
St. Louis Hawks,St Louis,Hawks,Basketball,NBA
St. Louis Rams,St Louis,Rams,Football,NFL
St. Louis Spirits,St Louis,Spirits,Basketball,ABA
Sudbury Wolves (OHL),Sudbury,Wolves,,
Syracuse Crunch  (AHL),Syracuse,Crunch,,
Syracuse Crunch (AHL),Syracuse,Crunch,,
Syracuse Nationals,Syracuse,Nationals,,
Tacoma Rockets (WHL),Tacoma,Rockets,,
Tampa Bay Bandits,Tampa Bay,Bandits,Football,USFL
Tampa Bay Buccaneers,Tampa Bay,Buccaneers,Football,NFL
Tampa Bay Devil Rays,Tampa Bay,Devil Rays,Baseball,MLB
Tampa Bay Lightning,Tampa Bay,Lightning,Hockey,NHL
Tappara Tampere (FIN),Tappara,Tampere,,
Tennessee Oilers,Tennessee,Oilers,Football,NFL
Tennessee Titans,Tennessee,Titans,Football,NFL
Tennessee Volunteers,Tennessee,Volunteers,Basketball,NCAAB
Tennessee Volunteers,Tennessee,Volunteers,Football,NCAAF
Texas Longhorns,Texas,Longhorns,Basketball,NCAAB
Texas Longhorns,Texas,Longhorns,Football,NCAAF
Texas Rangers,Texas,Rangers,Baseball,MLB
Texas Tech Red Raiders,Texas Tech,Red Raiders,Basketball,NCAAB
Texas Tech Red Raiders,Texas Tech,Red Raiders,Football,NCAAF
Toledo Storm (AHL),Toledo,Storm,,
Topeka Scarecrows (USHL),Topeka,Scarecrows,,
Toronto Argonauts,Toronto,Argonauts,Football,CFL
Toronto Blue Jays,Toronto,Blue Jays,Baseball,MLB
Toronto Maple Leafs,Toronto,Maple Leafs,Hockey,NHL
Toronto Marlies (AHL),Toronto,Marlies,,
Toronto Toros,Toronto,Toros,,
Trenton Thunder (AA),Trenton,Thunder,,
Trenton Titans (ECHL),Trenton,Titans,,
Tri-City Americans (WHL),Tri-City,Americans,,
Trois Riviers Draveurs (QMJHL),Trois Riviers,Draveurs,,
U. of Pittsburg Panthers,Pittsburgh,Panthers,Basketball,NCAAB
U. of Pittsburg Panthers,Pittsburgh,Panthers,Football,NCAAF
U. of San Fransisco Dons,San Francisco,Dons,,
U.C.L.A. Bruins,UCLA,Bruins,Basketball,NCAAB
U.C.L.A. Bruins,UCLA,Bruins,Football,NCAAF
USC Trojans,USC,Trojans,Basketball,NCAAB
USC Trojans,USC,Trojans,Football,NCAAF
Utah Jazz,Utah,Jazz,Basketball,NBA
Utah Stars,Utah,Stars,Basketball,ABA
Val D'or Foreurs (QMJHL),Val D'or,Foreurs,,
Vancouver Blazers,Vancouver,Blazers,,
Vancouver Canucks,Vancouver,Canucks,Hockey,NHL
Vermont Catamounts (NCAA),Vermont,Catamounts,Basketball,NCAAB
Vermont Mariners (AA),Vermont,Mariners,,
Victoriaville Tigres (QMJHL),Victoriaville,Tigres,,
Virginia Cavaliers,Virginia,Cavaliers,Basketball,NCAAB
Virginia Cavaliers,Virginia,Cavaliers,Football,NCAAF
Virginia Squires,Virginia,Squires,Basketball,ABA
Virginia Tech Hokies,Virginia Tech,Hokies,Basketball,NCAAB
Virginia Tech Hokies,Virginia Tech,Hokies,Football,NCAAF
Washington Capitals,Washington,Capitals,Hockey,NHL
Washington Federals,Washington,Federals,Football,USFL
Washington Nationals,Washington,Nationals,Baseball,MLB
Washington Redskins,Washington,Redskins,Football,NFL
Washington Senators,Washington,Senators,Baseball,MLB
Wheeling Nailers (ECHL),Wheeling,Nailers,Hockey,
Wheeling Thunderbirds (ECHL),Wheeling,Thunderbirds,Hockey,
Windsor Spitfires (OHL),Windsor,Spitfires,Hockey,
Winnepeg Blue Bombers,Winnepeg,Blue Bombers,Football,CFL
Winnepeg Jets,Winnepeg,Jets,Hockey,NHL
Winnipeg Pegs,Winnipeg,Pegs,,
Wisconcin Badgers (WCHA),Wisconcin,Badgers,Basketball,NCAAB
Wisconcin Badgers (WCHA),Wisconcin,Badgers,Football,NCAAF
Worcester Sharks (AHL),Worcester,Sharks,Hockey,
